z     eps_p     eps_z
5.354224 1.000001 1.000000
5.369972 1.000001 1.000000
5.385719 1.000001 1.000000
5.401467 1.000001 1.000000
5.417215 1.000001 1.000000
5.432963 1.000001 1.000000
5.448710 1.000000 1.000000
5.464458 1.000000 1.000000
5.480206 0.999999 1.000000
5.495953 0.999999 1.000000
5.511701 0.999999 1.000000
5.527449 0.999999 1.000000
5.543197 0.999999 1.000000
5.558944 0.999999 1.000000
5.574692 0.999999 1.000000
5.590440 1.000000 1.000000
5.606188 1.000000 1.000000
5.621935 1.000001 1.000000
5.637683 1.000001 1.000000
5.653431 1.000001 1.000000
5.669178 1.000001 1.000000
5.684926 1.000001 1.000000
5.700674 1.000001 1.000000
5.716422 1.000001 1.000000
5.732169 1.000000 1.000000
5.747917 1.000000 1.000000
5.763665 1.000000 1.000000
5.779412 0.999999 1.000000
5.795160 0.999999 1.000000
5.810908 0.999999 1.000000
5.826656 0.999999 1.000000
5.842403 0.999999 1.000000
5.858151 0.999999 1.000000
5.873899 0.999999 1.000000
5.889646 1.000000 1.000000
5.905394 1.000000 1.000000
5.921142 1.000001 1.000000
5.936890 1.000001 1.000000
5.952637 1.000001 1.000000
5.968385 1.000001 1.000000
5.984133 1.000001 1.000000
5.999880 1.000001 1.000000
6.015628 1.000001 1.000000
6.031376 1.000000 1.000000
6.047124 1.000000 1.000000
6.062871 1.000000 1.000000
6.078619 0.999999 1.000000
6.094367 0.999999 1.000000
6.110114 0.999999 1.000000
6.125862 0.999999 1.000000
6.141610 0.999999 1.000000
6.157358 0.999999 1.000000
6.173105 0.999999 1.000000
6.188853 1.000000 1.000000
6.204601 1.000000 1.000000
6.220349 1.000001 1.000000
6.236096 1.000001 1.000000
6.251844 1.000001 1.000000
6.267592 1.000001 1.000000
6.283339 1.000001 1.000000
6.299087 1.000001 1.000000
6.314835 1.000001 1.000000
6.330583 1.000000 1.000000
6.346330 1.000000 1.000000
6.362078 1.000000 1.000000
6.377826 0.999999 1.000000
6.393573 0.999999 1.000000
6.409321 0.999999 1.000000
6.425069 0.999999 1.000000
6.440817 0.999999 1.000000
6.456564 0.999999 1.000000
6.472312 0.999999 1.000000
6.488060 1.000000 1.000000
6.503807 1.000000 1.000000
6.519555 1.000001 1.000000
6.535303 1.000001 1.000000
6.551051 1.000001 1.000000
6.566798 1.000001 1.000000
6.582546 1.000001 1.000000
6.598294 1.000001 1.000000
6.614041 1.000001 1.000000
6.629789 1.000000 1.000000
6.645537 1.000000 1.000000
6.661285 1.000000 1.000000
6.677032 0.999999 1.000000
6.692780 0.999999 1.000000
6.708528 0.999999 1.000000
6.724275 0.999999 1.000000
6.740023 0.999999 1.000000
6.755771 0.999999 1.000000
6.771519 0.999999 1.000000
6.787266 1.000000 1.000000
6.803014 1.000000 1.000000
6.818762 1.000001 1.000000
6.834510 1.000001 1.000000
6.850257 1.000001 1.000000
6.866005 1.000001 1.000000
6.881753 1.000001 1.000000
6.897500 1.000001 1.000000
6.913248 1.000001 1.000000
6.928996 1.000000 1.000000
6.944744 1.000000 1.000000
6.960491 1.000000 1.000000
6.976239 0.999999 1.000000
6.991987 0.999999 1.000000
7.007734 0.999999 1.000000
7.023482 0.999999 1.000000
7.039230 0.999999 1.000000
7.054978 0.999999 1.000000
7.070725 0.999999 1.000000
7.086473 1.000000 1.000000
7.102221 1.000000 1.000000
7.117968 1.000001 1.000000
7.133716 1.000001 1.000000
7.149464 1.000001 1.000000
7.165212 1.000001 1.000000
7.180959 1.000001 1.000000
7.196707 1.000001 1.000000
7.212455 1.000001 1.000000
7.228202 1.000000 1.000000
7.243950 1.000000 1.000000
7.259698 1.000000 1.000000
7.275446 0.999999 1.000000
7.291193 0.999999 1.000000
7.306941 0.999999 1.000000
7.322689 0.999999 1.000000
7.338436 0.999999 1.000000
7.354184 0.999999 1.000000
7.369932 0.999999 1.000000
7.385680 1.000000 1.000000
7.401427 1.000000 1.000000
7.417175 1.000001 1.000000
7.432923 1.000001 1.000000
7.448671 1.000001 1.000000
7.464418 1.000001 1.000000
7.480166 1.000001 1.000000
7.495914 1.000001 1.000000
7.511661 1.000001 1.000000
7.527409 1.000000 1.000000
7.543157 1.000000 1.000000
7.558905 1.000000 1.000000
7.574652 0.999999 1.000000
7.590400 0.999999 1.000000
7.606148 0.999999 1.000000
7.621895 0.999999 1.000000
7.637643 0.999999 1.000000
7.653391 0.999999 1.000000
7.669139 0.999999 1.000000
7.684886 1.000000 1.000000
7.700634 1.000000 1.000000
7.716382 1.000001 1.000000
7.732129 1.000001 1.000000
7.747877 1.000001 1.000000
7.763625 1.000002 1.000000
7.779373 1.000001 1.000000
7.795120 1.000001 1.000000
7.810868 1.000001 1.000000
7.826616 1.000001 1.000000
7.842363 1.000000 1.000000
7.858111 1.000000 1.000000
7.873859 0.999999 1.000000
7.889607 0.999999 1.000000
7.905354 0.999999 1.000000
7.921102 0.999999 1.000000
7.936850 0.999999 1.000000
7.952597 0.999999 1.000000
7.968345 1.000000 1.000000
7.984093 1.000000 1.000000
7.999841 1.000000 1.000000
8.015588 1.000001 1.000000
8.031336 1.000001 1.000000
8.047084 1.000001 1.000000
8.062831 1.000002 1.000000
8.078579 1.000002 1.000000
8.094327 1.000001 1.000000
8.110075 1.000001 1.000000
8.125822 1.000001 1.000000
8.141570 1.000000 1.000000
8.157318 1.000000 1.000000
8.173066 0.999999 1.000000
8.188813 0.999999 1.000000
8.204561 0.999999 1.000000
8.220309 0.999999 1.000000
8.236056 0.999999 1.000000
8.251804 0.999999 1.000000
8.267552 1.000000 1.000000
8.283300 1.000000 1.000000
8.299047 1.000001 1.000000
8.314795 1.000001 1.000000
8.330543 1.000001 1.000000
8.346290 1.000002 1.000000
8.362038 1.000002 1.000000
8.377786 1.000002 1.000000
